line_id,city_id,line_name,phase,status,length_km,station_count,start_station,end_station,max_speed_kmh,open_year_expected,districts,notes
1,2,15号线,深圳五期,在建,32.2,24,前海,大铲湾,80,2028,南山区;宝安区;前海合作区,环线，串联前海、蛇口、后海、深圳湾、留仙洞等南山核心片区
2,2,17号线一期,深圳五期,在建,18.6,18,侨社,上李朗,80,2028,罗湖区;龙岗区,服务罗湖北、笋岗、清水河、布吉、南湾、李朗；2026年3月环评报批前公示
3,2,18号线一期,深圳五期,在建,19.4,8,盐田路,白花,120,2028,盐田区;光明区,快线，最高 120km/h，跨盐田-光明
4,2,19号线一期,深圳五期,在建,12.5,12,南塘围,聚龙,80,2028,龙岗区;坪山区,服务坪山、龙岗
5,2,20号线二期,深圳五期,在建,34.0,14,机场北,福田会展,120,2028,宝安区;南山区;福田区,快线 120km/h，机场-会展
6,2,21号线一期,深圳五期,在建,12.5,6,坳背,龙园,80,2028,龙岗区,6 座地下站
7,2,22号线一期,深圳五期,在建,34.2,21,上沙,黎光,100,2028,福田区;龙华区;光明区,快线 100km/h，跨福田-龙华-光明
8,2,25号线一期,深圳五期,在建,16.2,14,石龙,吉华医院,80,2028,龙华区;龙岗区,服务龙华中心、龙岗坂田
9,2,27号线一期,深圳五期,在建,23.2,19,松坪村,岗头西,80,2028,南山区;龙华区;龙岗区,服务西丽、高新园、坂田
10,2,29号线一期,深圳五期,在建,11.3,10,红树湾南,兴东,80,2028,南山区;宝安区,服务前海-西乡
11,2,32号线一期,深圳五期,在建,9.5,5,溪涌,葵涌东,80,2028,大鹏新区,服务大鹏新区内部 + 东部滨海先进制造业园区
12,2,10号线东延(深圳段),深圳五期,在建,2.9,1,双拥街,深莞边界,80,2028,龙岗区,深莞跨市延伸 1 站，联系平湖/东莞凤岗
13,2,11号线北延(深圳段),深圳五期,在建,0.8,0,碧头,深莞边界,80,2028,宝安区,深莞跨市延伸 0 站，衔接东莞 3 号线
14,2,13号线二期北延,深圳四期,即将开通,19.2,11,凤凰城,李松蓢,100,2026,光明区;宝安区,光明城、德雅路、凤凰城、月亮路等 11 站；预计 2026 年开通
15,2,6号线支线二期,深圳四期,即将开通,4.9,3,光明(翠湖),光明城,100,2026,光明区,碧眼、虹桥公园、光明城 3 站
16,1,8号线北延,广州三期调整,在建,9.4,4,滘心,江府,80,2027,白云区,凤翔路、江高、江村、江府 4 站
17,1,8号线东延,广州三期调整,在建,18.0,7,万胜围,莲花,80,2027,海珠区;黄埔区;番禺区,凤浦公园、新洲、长洲、展贸城、化龙、蒙地、莲花 7 站
18,1,24号线,广州三期调整,在建,31.7,18,广州北站,纪念堂,100,2028,花都区;白云区;越秀区,拆解自 8 号线北延花都段；18 站，11 换乘；快线 100km/h
19,1,16号线一期,广州四期,在建,38.4,19,新塘,荔城,100,2027,增城区,服务新塘-荔城，沿龙岗大道、长江埔路、沙荷路、惠盐中路敷设
20,3,珠肇高铁(珠海段),珠海规划,在建,53.0,5,珠海中心站(鹤洲),珠海北,350,2027,香洲区;斗门区,高铁 350km/h，5 站；珠肇高铁
21,3,南珠(珠海)城际,珠海规划,规划,80.0,12,拱北,珠海机场,160,2030,香洲区;金湾区,城际铁路；广州地铁 18 号线南延
